call_id,caller_id,receiver_id,timestamp,case_id,source,confidence
C001,PH001,PH002,2026-01-04T09:10:00,CASE001,CDR_SYNTHETIC,0.98
C002,PH001,PH003,2026-01-04T11:20:00,CASE001,CDR_SYNTHETIC,0.98
C003,PH002,PH004,2026-01-05T14:05:00,CASE001,CDR_SYNTHETIC,0.97
C004,PH003,PH005,2026-01-06T18:40:00,CASE001,CDR_SYNTHETIC,0.95
C005,PH004,PH006,2026-01-07T08:30:00,CASE001,CDR_SYNTHETIC,0.96
C006,PH001,PH007,2026-01-08T16:12:00,CASE002,CDR_SYNTHETIC,0.98
C007,PH007,PH008,2026-01-09T10:25:00,CASE002,CDR_SYNTHETIC,0.94
C008,PH008,PH009,2026-01-10T19:45:00,CASE002,CDR_SYNTHETIC,0.93
C009,PH009,PH010,2026-01-11T13:15:00,CASE002,CDR_SYNTHETIC,0.92
C010,PH001,PH010,2026-01-12T21:00:00,CASE002,CDR_SYNTHETIC,0.99
C011,PH003,PH007,2026-01-13T09:55:00,CASE003,CDR_SYNTHETIC,0.91
C012,PH005,PH008,2026-01-14T17:10:00,CASE003,CDR_SYNTHETIC,0.90
C013,PH006,PH009,2026-01-15T12:05:00,CASE003,CDR_SYNTHETIC,0.89
C014,PH002,PH010,2026-01-16T20:20:00,CASE003,CDR_SYNTHETIC,0.92
C015,PH001,PH004,2026-01-17T23:50:00,CASE001,CDR_SYNTHETIC,0.99
C016,PH007,PH010,2026-01-18T22:35:00,CASE002,CDR_SYNTHETIC,0.97
