event_id,person_id,event_type,location_id,vehicle_id,organization_id,timestamp,case_id,source,confidence
E001,P001,LOCATED_AT,LOC001,,,2026-01-04T08:00:00,CASE001,FIELD_SYNTHETIC,0.90
E002,P002,LOCATED_AT,LOC002,,,2026-01-05T13:00:00,CASE001,FIELD_SYNTHETIC,0.88
E003,P003,VISITED,LOC002,V002,,2026-01-06T18:00:00,CASE001,FIELD_SYNTHETIC,0.87
E004,P004,LOCATED_AT,LOC003,,,2026-01-07T08:00:00,CASE001,FIELD_SYNTHETIC,0.86
E005,P005,USED,LOC001,V001,,2026-01-08T07:30:00,CASE002,FIELD_SYNTHETIC,0.92
E006,P006,WORKS_FOR,,,ORG003,2026-01-08T09:00:00,CASE002,RECORDS_SYNTHETIC,0.80
E007,P007,LOCATED_AT,LOC004,,,2026-01-09T10:00:00,CASE002,FIELD_SYNTHETIC,0.91
E008,P008,VISITED,LOC004,V004,,2026-01-10T19:00:00,CASE002,FIELD_SYNTHETIC,0.85
E009,P009,USED,LOC006,V005,,2026-01-11T12:00:00,CASE002,FIELD_SYNTHETIC,0.84
E010,P010,LOCATED_AT,LOC005,,,2026-01-12T14:00:00,CASE003,FIELD_SYNTHETIC,0.83
E011,P011,VISITED,LOC001,V003,,2026-01-13T16:00:00,CASE003,FIELD_SYNTHETIC,0.82
E012,P012,WORKS_FOR,,,ORG003,2026-01-14T09:00:00,CASE003,RECORDS_SYNTHETIC,0.79
E013,P013,ASSOCIATED_WITH,,,,2026-01-15T11:00:00,CASE003,INTERVIEW_SYNTHETIC,0.76
E014,P014,MENTIONED_IN,,,,2026-01-16T13:00:00,CASE001,REPORT_SYNTHETIC,0.74
E015,P015,WORKS_FOR,,,ORG004,2026-01-17T10:00:00,CASE002,RECORDS_SYNTHETIC,0.81
E016,P016,LOCATED_AT,LOC005,,,2026-01-18T15:00:00,CASE003,FIELD_SYNTHETIC,0.77
E017,P017,VISITED,LOC002,V006,,2026-01-18T16:00:00,CASE003,FIELD_SYNTHETIC,0.75
E018,P018,ASSOCIATED_WITH,,,,2026-01-18T17:00:00,CASE002,INTERVIEW_SYNTHETIC,0.73
E019,P001,CONNECTED_TO,LOC002,,,2026-01-18T18:00:00,CASE002,LINK_SYNTHETIC,0.72
E020,P004,VISITED,LOC005,V003,,2026-01-18T18:30:00,CASE003,FIELD_SYNTHETIC,0.71
E021,P007,WORKS_FOR,,,ORG001,2026-01-18T19:00:00,CASE003,RECORDS_SYNTHETIC,0.70
E022,P017,MENTIONED_IN,,,,2026-01-18T19:30:00,CASE001,REPORT_SYNTHETIC,0.69
