message_id,sender_phone_id,receiver_phone_id,timestamp,case_id,source,confidence
M001,PH001,PH002,2026-01-04T09:15:00,CASE001,MSG_SYNTHETIC,0.90
M002,PH002,PH003,2026-01-05T14:20:00,CASE001,MSG_SYNTHETIC,0.88
M003,PH003,PH004,2026-01-06T18:45:00,CASE001,MSG_SYNTHETIC,0.87
M004,PH001,PH007,2026-01-08T16:20:00,CASE002,MSG_SYNTHETIC,0.92
M005,PH007,PH008,2026-01-09T10:30:00,CASE002,MSG_SYNTHETIC,0.86
M006,PH008,PH009,2026-01-10T19:50:00,CASE002,MSG_SYNTHETIC,0.85
M007,PH003,PH007,2026-01-13T10:00:00,CASE003,MSG_SYNTHETIC,0.83
M008,PH005,PH010,2026-01-14T17:20:00,CASE003,MSG_SYNTHETIC,0.81
M009,PH001,PH010,2026-01-17T23:55:00,CASE002,MSG_SYNTHETIC,0.94
M010,PH006,PH009,2026-01-18T08:05:00,CASE003,MSG_SYNTHETIC,0.82
