transaction_id,from_account,to_account,amount,timestamp,case_id,source,confidence
T001,ACC001,ACC002,12500,2026-01-04T10:00:00,CASE001,LEDGER_SYNTHETIC,0.98
T002,ACC002,ACC003,8400,2026-01-05T15:00:00,CASE001,LEDGER_SYNTHETIC,0.97
T003,ACC003,ACC004,7900,2026-01-06T16:20:00,CASE001,LEDGER_SYNTHETIC,0.96
T004,ACC004,ACC005,7600,2026-01-07T17:40:00,CASE001,LEDGER_SYNTHETIC,0.95
T005,ACC001,ACC006,22000,2026-01-09T11:00:00,CASE002,LEDGER_SYNTHETIC,0.98
T006,ACC006,ACC007,18900,2026-01-10T12:30:00,CASE002,LEDGER_SYNTHETIC,0.94
T007,ACC007,ACC008,18300,2026-01-11T14:00:00,CASE002,LEDGER_SYNTHETIC,0.94
T008,ACC008,ACC009,18100,2026-01-12T15:30:00,CASE002,LEDGER_SYNTHETIC,0.93
T009,ACC002,ACC010,3100,2026-01-14T09:45:00,CASE003,LEDGER_SYNTHETIC,0.90
T010,ACC010,ACC004,2800,2026-01-15T18:10:00,CASE003,LEDGER_SYNTHETIC,0.91
T011,ACC005,ACC006,4500,2026-01-16T20:15:00,CASE003,LEDGER_SYNTHETIC,0.89
T012,ACC009,ACC003,5200,2026-01-18T21:00:00,CASE002,LEDGER_SYNTHETIC,0.92
